Book Name,Author,Rating,Rating_Filled,Number of Reviews,Log Reviews,Price,Description,Genre,Ranks and Genre,Audible Rank,Listening Time,Listening Time Minutes,Data_Source,Has_Description,Has_Genre,Has_Listening_Time,Book_Name_Key,Author_Key,Review_Group,Description_Length
E-Squared: Nine Do-It-Yourself Energy Experiments That Prove Your Thoughts Create Your Reality,Pam Grout,4.4,4.4,4442.0,8.399085102935908,561.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,e-squared: nine do-it-yourself energy experiments that prove your thoughts create your reality,pam grout,1001+,0
Eat That Frog!,Brian Tracy,4.5,4.5,2094.0,7.647308832356238,351.0,"There just isn't enough time for everything on our to-do list - and there never will be. Successful people don't try to do everything. They learn to focus on the most important tasks and make sure those get done. They eat their frogs. There's an old saying that if the first thing you do each morning is eat a live frog, you'll have the satisfaction of knowing you're done with the worst thing you'll have to do all day. For Tracy, eating a frog is a metaphor for tackling your most challenging task - but also the one that can have the greatest positive impact on your life. Eat That Frog! shows you how to organize each day so you can zero in on these critical tasks and accomplish them efficiently and effectively.",Time Management & Productivity | Business Management | Business Motivation & Self-Improvement,",#57 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Time Management & Productivity,#3 in Business Management,#4 in Business Motivation & Self-Improvement",57.0,2 hours and 37 minutes,157.0,Both,1,1,1,eat that frog!,brian tracy,1001+,717
"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia",Elizabeth Gilbert,4.3,4.3,3136.0,8.051022208190679,937.0,"It's 3 a.m., and Elizabeth Gilbert is sobbing on the bathroom floor. She's in her 30s, she has a husband, a house, they're trying for a baby - and she doesn't want any of it. A bitter divorce and a turbulent love affair later, she emerges battered and bewildered, and realises it is time to pursue her own journey in search of three things she has been missing: pleasure, devotion, and balance.","Adventurers, Explorers & Survival Biographies | Biographies of Authors | Travel Writing & Commentary",",#1,225 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Adventurers, Explorers & Survival Biographies,#3 in Biographies of Authors,#4 in Travel Writing & Commentary",1225.0,12 hours and 50 minutes,770.0,Both,1,1,1,"eat, pray, love: one woman's search for everything across italy, india and indonesia",elizabeth gilbert,1001+,394
Educated,Tara Westover,4.7,4.7,19643.0,9.885527227159136,888.0,Brought to you by Penguin.,Relationships | Women Biographies | Family & Relationships,",#107 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Relationships,#2 in Women Biographies,#48 in Family & Relationships",107.0,12 hours and 10 minutes,730.0,Both,1,1,1,educated,tara westover,1001+,26
Ego Is the Enemy,Ryan Holiday,4.5,4.5,1665.0,7.418180822726788,586.0,"""While the history books are filled with tales of obsessive visionary geniuses who remade the world in their images with sheer, almost irrational force, I've found that history is also made by individuals who fought their egos at every turn, who eschewed the spotlight, and who put their higher goals above their desire for recognition."" (From the prologue)",Business Motivation & Self-Improvement | Personal Success | Analysis & Strategy,",#857 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#39 in Business Motivation & Self-Improvement,#152 in Personal Success,#1,372 in Analysis & Strategy",857.0,6 hours and 56 minutes,416.0,Both,1,1,1,ego is the enemy,ryan holiday,1001+,357
El Alquimista [The Alchemist],Paulo Coelho,4.7,4.7,2227.0,7.708859601047175,601.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,el alquimista [the alchemist],paulo coelho,1001+,0
Elantris,Brandon Sanderson,4.6,4.6,1836.0,7.515889085215125,990.0,"Elantris was built on magic, and it thrived. But then the magic began to fade, and Elantris began to rot. Now its shattered citizens face domination by a powerful Imperium. Can a young Princess unite the people of Elantris and lead a rebellion against the imperial zealots?",Action & Adventure Fantasy | Epic Fantasy | Fantasy (Books),",#764 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Action & Adventure Fantasy,#15 in Epic Fantasy,#511 in Fantasy (Books)",764.0,28 hours and 42 minutes,1722.0,Both,1,1,1,elantris,brandon sanderson,1001+,273
Eleanor Oliphant Is Completely Fine,Gail Honeyman,4.5,4.5,19041.0,9.854402344845637,10080.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,eleanor oliphant is completely fine,gail honeyman,1001+,0
Elon Musk,Ashlee Vance,4.5,4.5,6491.0,8.778325928634482,888.0,Brought to you by Penguin.,Biographies of Science & Technology Leaders | Engineering & Technology (Books) | Biographies of Business Leaders,",#23 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Biographies of Science & Technology Leaders,#3 in Engineering & Technology (Books),#3 in Biographies of Business Leaders",23.0,13 hours and 23 minutes,803.0,Both,1,1,1,elon musk,ashlee vance,1001+,26
Emma [Naxos Edition],Jane Austen,4.3,4.3,2025.0,7.613818684808629,1003.0,"One of Jane Austen's most popular novels. Arrogant, self-willed, and egotistical, Emma is her most unusual heroine.",Historical Fiction | Classic Literature | Historical Fiction (Books),",#3,550 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#130 in Historical Fiction (Audible Audiobooks & Originals),#186 in Classic Literature,#2,613 in Historical Fiction (Books)",3550.0,16 hours and 39 minutes,999.0,Both,1,1,1,emma [naxos edition],jane austen,1001+,115
Empire of Storms,Sarah J. Maas,4.8,4.8,3751.0,8.230044310126114,1338.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,empire of storms,sarah j. maas,1001+,0
End of Days: What You Need to Know Now About the End of the World,Sylvia Browne,4.2,4.2,2547.0,7.843064016692054,632.0,"Religious wars, global terrorism, genocide, ecological disaster: Today's world is a scary place. The Information Age has carried us into the Age of Anxiety, where everyone is on edge, wondering what is coming next. What will happen in 2012, when the Mayan calendar predicts the end of the world? What will the next 50 years bring? The next 100 years? If the world really is going to end, what then?","Divination | Mind, Body & Spirit",",#3,095 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Divination,#3,295 in Mind, Body & Spirit",3095.0,5 hours and 6 minutes,306.0,Both,1,1,1,end of days: what you need to know now about the end of the world,sylvia browne,1001+,398
Endurance: Shackleton's Incredible Voyage,Alfred Lansing,4.8,4.8,3005.0,8.00836557031292,836.0,"In August of 1914, the British ship Endurance set sail for the South Atlantic. In October 1915, still half a continent away from its intended base, the ship was trapped, then crushed in the ice. For five months, Sir Ernest Shackleton and his men, drifting on ice packs, were castaways in one of the most savage regions of the world.",World History | History (Books) | Textbooks & Study Guides,",#518 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#11 in World History (Audible Audiobooks & Originals),#1,245 in History (Books),#5,704 in Textbooks & Study Guides",518.0,10 hours and 20 minutes,620.0,Both,1,1,1,endurance: shackleton's incredible voyage,alfred lansing,1001+,332
Essentialism: The Disciplined Pursuit of Less,Greg McKeown,4.6,4.6,2997.0,8.005700678662542,888.0,Brought to you by Penguin.,Business & Careers | Analysis & Strategy,",#119 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#32 in Business & Careers,#232 in Analysis & Strategy",119.0,6 hours and 14 minutes,374.0,Both,1,1,1,essentialism: the disciplined pursuit of less,greg mckeown,1001+,26
Everyone Has a Story,Savi Sharma,4.1,4.1,4943.0,8.505929999137527,501.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,everyone has a story,savi sharma,1001+,0
Everything I Never Told You,Celeste Ng,4.3,4.3,7599.0,8.935903526274423,793.0,Lydia is the favourite child of Marilyn and James Lee - a girl who inherited her mother's bright-blue eyes and her father's jet-black hair.,Contemporary Fiction (Books),",#7,890 in Contemporary Fiction (Books)",,10 hours and 1 minute,601.0,Both,1,1,1,everything i never told you,celeste ng,1001+,139
Everything Is F*cked: A Book About Hope,Mark Manson,4.3,4.3,2390.0,7.779466967458324,10378.0,From the author of the international mega-best-seller The Subtle Art of Not Giving A F*ck comes a counterintuitive guide to the problems of hope.,Satire Fiction | Humour (Books) | Personal Success,",#85 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Satire Fiction,#19 in Humour (Books),#24 in Personal Success",85.0,7 hours and 2 minutes,422.0,Both,1,1,1,everything is f*cked: a book about hope,mark manson,1001+,145
Everything is Figureoutable: How One Simple Belief Can Help Us Overcome Any Obstacle and Create Unstoppable Success,Marie Forleo,4.8,4.8,1877.0,7.537962659768208,888.0,Brought to you by Penguin.,Lifestyle & Personal Style Guides (Books) | Personal Success in Business | Personal Success,",#82 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#5 in Lifestyle & Personal Style Guides (Books),#12 in Personal Success in Business,#23 in Personal Success",82.0,7 hours and 54 minutes,474.0,Both,1,1,1,everything is figureoutable: how one simple belief can help us overcome any obstacle and create unstoppable success,marie forleo,1001+,26
"Everything, Everything",Nicola Yoon,4.6,4.6,3354.0,8.118207049405783,1005.0,"This innovative, heartfelt debut novel tells the story of a girl who's literally allergic to the outside world. When a new family moves in next door, she begins a complicated romance that challenges everything she's ever known.",Unknown,Unknown,,Unknown,,Both,1,0,0,"everything, everything",nicola yoon,1001+,227
Evicted: Poverty and Profit in the American City,Matthew Desmond,4.7,4.7,1938.0,7.569927655242652,752.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,evicted: poverty and profit in the american city,matthew desmond,1001+,0
Eye of the Needle,Ken Follett,4.6,4.6,2442.0,7.8009820712577405,323.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,eye of the needle,ken follett,1001+,0
Fahrenheit 451,Ray Bradbury,4.5,4.5,6720.0,8.812992231969966,668.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,fahrenheit 451,ray bradbury,1001+,0
Fall of Giants,Ken Follett,4.5,4.5,9044.0,9.109967397829395,323.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,fall of giants,ken follett,1001+,0
Fallen Too Far,Abbi Glines,4.5,4.5,2450.0,7.804251383528112,668.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,fallen too far,abbi glines,1001+,0
False Impression,Anton Lesser,4.5,4.5,1664.0,7.417580402414544,323.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,false impression,anton lesser,1001+,0
Fangirl,Rainbow Rowell,4.4,4.4,2655.0,7.884576510596324,323.0,"Cath and Wren are identical twins, and until recently they did absolutely everything together. Now they're off to university, and Wren's decided she doesn't want to be one half of a pair any more - she wants to dance, meet boys, go to parties and let loose. It's not so easy for Cath. She's horribly shy and has always buried herself in the fan fiction she writes, where she always knows exactly what to say and can write a romance far more intense than anything she's experienced in real life.",Fiction on Loners & Outcasts for Teens | Audiobooks on Siblings for Teens | Fiction on Family for Teens,",#1,808 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Fiction on Loners & Outcasts for Teens,#2 in Audiobooks on Siblings for Teens,#3 in Fiction on Family for Teens",1808.0,12 hours and 49 minutes,769.0,Both,1,1,1,fangirl,rainbow rowell,1001+,494
Fantastic Beasts and Where to Find Them: Read by Eddie Redmayne,J.K. Rowling,4.5,4.5,2363.0,7.768110378525988,652.0,"A set textbook at Hogwarts School of Witchcraft and Wizardry since publication, Newt Scamander's masterpiece has entertained wizarding families through the generations. Fantastic Beasts and Where to Find Them is an indispensable introduction to the magical beasts of the wizarding world.",Unknown,Unknown,,Unknown,,Both,1,0,0,fantastic beasts and where to find them: read by eddie redmayne,j.k. rowling,1001+,287
Fantastic Mr Fox,Roald Dahl,4.7,4.7,1704.0,7.4413203897176174,615.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,fantastic mr fox,roald dahl,1001+,0
"Feel the Fear and Do It Anyway: Dynamic Techniques for Turning Fear, Indecision, and Anger into Power, Action, and Love",Susan Jeffers PhD,4.6,4.6,2300.0,7.741099090035366,469.0,"""Living is taking chances, and Feel the Fear and Do It Anyway has helped so many people-both men and women-to achieve success."" (Louise Hay, the best-selling author of You Can Heal Your Life)",Personal Success | Personal Development & Self-Help,",#1,109 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#187 in Personal Success,#2,552 in Personal Development & Self-Help",1109.0,6 hours and 7 minutes,367.0,Both,1,1,1,"feel the fear and do it anyway: dynamic techniques for turning fear, indecision, and anger into power, action, and love",susan jeffers phd,1001+,191
Feeling Good: The New Mood Therapy,David D. Burns,4.3,4.3,3193.0,8.069029328774958,13840.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,feeling good: the new mood therapy,david d. burns,1001+,0
Fifty Shades Darker: Book Two of the Fifty Shades Trilogy,E. L. James,4.3,4.3,20842.0,9.94477343944167,1093.0,"For all those who loved Fifty Shades of Grey, the second instalment will have you no less enthralled. Immerse yourself once again in E.L. James' sinfully debauched world.",Women's Fiction | Contemporary Romance | Contemporary Fiction (Books),",#2,724 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#69 in Women's Fiction,#92 in Contemporary Romance (Audible Audiobooks & Originals),#5,160 in Contemporary Fiction (Books)",2724.0,19 hours and 49 minutes,1189.0,Both,1,1,1,fifty shades darker: book two of the fifty shades trilogy,e. l. james,1001+,170
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy,E. L. James,4.4,4.4,17597.0,9.775540538205506,1093.0,"In the final instalment of the trilogy that has left a whole generation breathless, E. L. James brings the fiery story of Christian and Ana to a truly thrilling crescendo.",Romance (Books),",#2,094 in Romance (Books)",,20 hours and 59 minutes,1259.0,Both,1,1,1,fifty shades freed: book three of the fifty shades trilogy,e. l. james,1001+,171
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy,E. L. James,3.8,3.8,38310.0,10.55349234019923,1093.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,fifty shades of grey: book one of the fifty shades trilogy,e. l. james,1001+,0
Fight Club,Chuck Palahniuk,4.6,4.6,2126.0,7.662467815200237,372.0,Unknown,Unknown,Unknown,,Unknown,,Advanced Only,0,0,0,fight club,chuck palahniuk,1001+,0
"Fighting Destiny: The Fae Chronicles, Book 1",Amelia Hutchins,4.5,4.5,2066.0,7.633853559681768,836.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,"fighting destiny: the fae chronicles, book 1",amelia hutchins,1001+,0
Find Me,André Aciman,4.3,4.3,1761.0,7.474204806496124,759.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,find me,andré aciman,1001+,0
Finding Me,Michelle Knight,4.8,4.8,5053.0,8.52793528794814,600.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,finding me,michelle knight,1001+,0
Fire and Blood: 300 Years Before A Game of Thrones (A Targaryen History) (A Song of Ice and Fire),George R.R. Martin,4.4,4.4,3764.0,8.233503140233994,18149.0,"Set 300 years before A Game of Thrones, an even greater game began, one that set the skies alight with dragon flame and saw the Seven Kingdoms turned to ash.",Action & Adventure Fantasy | Historical Fantasy | Military Fantasy,",#193 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Action & Adventure Fantasy,#1 in Historical Fantasy,#2 in Military Fantasy",193.0,26 hours and 24 minutes,1584.0,Both,1,1,1,fire and blood: 300 years before a game of thrones (a targaryen history) (a song of ice and fire),george r.r. martin,1001+,157
Fish in a Tree,Lynda Hunt,4.8,4.8,2025.0,7.613818684808629,904.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,fish in a tree,lynda hunt,1001+,0
Flash Boys,Michael Lewis,4.5,4.5,3432.0,8.141189793457691,752.0,Unknown,Unknown,Unknown,,Unknown,,Advanced Only,0,0,0,flash boys,michael lewis,1001+,0
Frankenstein,Mary Shelley,4.4,4.4,3650.0,8.202756381655638,836.0,"Audie Award Finalist, Solo Narration - Male, 2013",Horror Fiction | Classic Literature | Horror (Books),",#2,931 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#24 in Horror Fiction,#151 in Classic Literature,#468 in Horror (Books)",2931.0,8 hours and 35 minutes,515.0,Both,1,1,1,frankenstein,mary shelley,1001+,49
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,4.4,4.4,2268.0,7.727094484779841,888.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,freakonomics: a rogue economist explores the hidden side of everything,steven d. levitt,1001+,0
Get Out of Your Head: Stopping the Spiral of Toxic Thoughts,Jennie Allen,4.7,4.7,2622.0,7.872073979866873,879.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,get out of your head: stopping the spiral of toxic thoughts,jennie allen,1001+,0
"Girl, Woman, Other",Bernardine Evaristo,4.5,4.5,2091.0,7.645875825184813,888.0,Brought to you by Penguin.,African American Literature | Coming of Age Fiction | Women's Fiction,",#139 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in African American Literature,#1 in Coming of Age Fiction,#2 in Women's Fiction",139.0,11 hours and 7 minutes,667.0,Both,1,1,1,"girl, woman, other",bernardine evaristo,1001+,26
Go Pro - 7 Steps to Becoming a Network Marketing Professional,Eric Worre,4.8,4.8,4424.0,8.39502555744203,233.0,"Over twenty years ago at a company convention, Eric Worre had an ""aha"" moment that changed his life forever. At that event he made the decision to Go Pro and become a Network Marketing expert. Since that time, he has focused on developing the skills to do just that. In doing so, Eric has touched and been touched by hundreds of thousands of people around the world. Now he shares his wisdom in a guide that will ignite your passion for this profession and help you make the decision to Go Pro and create the life of your dreams.",Business Sales | Marketing | Business Careers,",#375 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Business Sales,#10 in Marketing (Audible Audiobooks & Originals),#14 in Business Careers",375.0,2 hours and 49 minutes,169.0,Both,1,1,1,go pro - 7 steps to becoming a network marketing professional,eric worre,1001+,529
Go the F--k to Sleep,Adam Mansbach,4.8,4.8,7179.0,8.87905466204227,56.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,go the f--k to sleep,adam mansbach,1001+,0
God Is Not Great: How Religion Poisons Everything,Christopher Hitchens,4.7,4.7,2797.0,7.936660155225426,500.0,Unknown,Atheism | Religion & Sociology | Atheism (Books),",#659 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Atheism (Audible Audiobooks & Originals),#3 in Religion & Sociology,#7 in Atheism (Books)",659.0,8 hours and 45 minutes,525.0,Both,0,1,1,god is not great: how religion poisons everything,christopher hitchens,1001+,0
Golden Son: Book II of the Red Rising Trilogy,Pierce Brown,4.7,4.7,2954.0,7.991253929840199,1055.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,golden son: book ii of the red rising trilogy,pierce brown,1001+,0
Gone with the Wind,Margaret Mitchell,4.6,4.6,3581.0,8.183676582620658,1548.0,"When Gone with the Wind appeared in 1936, it became on overnight sensation. Nothing like it in American literature had ever been seen. It went on to win the Pulitzer Prize and become one of the most celebrated films of all time. It has sold more than 30 million copies worldwide and been translated into 27 languages.",Classic Literature | Classic Fiction (Books),",#412 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#19 in Classic Literature,#486 in Classic Fiction (Books)",412.0,47 hours and 11 minutes,2831.0,Both,1,1,1,gone with the wind,margaret mitchell,1001+,317
Good Night Stories for Rebel Girls,Elena Favilli,4.7,4.7,3906.0,8.27052509505507,615.0,Penguin presents the audiobook edition of Good Night Stories for Rebel Girls by Elena Favilli and Francesca Cavallo.,Unknown,Unknown,,Unknown,,Both,1,0,0,good night stories for rebel girls,elena favilli,1001+,116
Good Omens: The BBC Radio 4 dramatisation,Terry Pratchett,4.7,4.7,6299.0,8.748304912379623,615.0,Neil Gaiman was the WINNER of the BBC Audio Drama Award 2015 for Outstanding Contribution to Radio Drama,Fantasy (Books),",#324 in Fantasy (Books)",,4 hours and 19 minutes,259.0,Both,1,1,1,good omens: the bbc radio 4 dramatisation,terry pratchett,1001+,104
Good to Great: Why Some Companies Make the Leap...And Others Don't,Jim Collins,4.6,4.6,2425.0,7.793999089503996,15817.0,"Built to Last, the defining management study of the '90s, showed how great companies triumph over time and how long-term sustained performance can be engineered into the DNA of an enterprise from the very beginning.",Business Management | Analysis & Strategy | Textbooks & Study Guides,",#63 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Business Management,#93 in Analysis & Strategy,#526 in Textbooks & Study Guides",63.0,10 hours and 1 minute,601.0,Both,1,1,1,good to great: why some companies make the leap...and others don't,jim collins,1001+,215
"Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness",Vex King,4.7,4.7,4533.0,8.419359831067474,633.0,"The Sunday Times best seller - over 100,000 copies sold.","Personal Success | Mind, Body & Spirit | Personal Development & Self-Help",",#292 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#63 in Personal Success,#328 in Mind, Body & Spirit,#860 in Personal Development & Self-Help",292.0,4 hours and 10 minutes,250.0,Both,1,1,1,"good vibes, good life: how self-love is the key to unlocking your greatness",vex king,1001+,56
"Grain Brain: The Surprising Truth About Wheat, Carbs, and Sugar - Your Brain's Silent Killers",David Perlmutter,4.6,4.6,5375.0,8.589699882202986,500.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,"grain brain: the surprising truth about wheat, carbs, and sugar - your brain's silent killers",david perlmutter,1001+,0
Great Expectations: The Dickens Collection: An Audible Exclusive Series,Charles Dickens,4.4,4.4,3232.0,8.081165777725433,1518.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,great expectations: the dickens collection: an audible exclusive series,charles dickens,1001+,0
Great Stories for Children,Ruskin Bond,4.5,4.5,1678.0,7.425953657077541,501.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,great stories for children,ruskin bond,1001+,0
Grey: Fifty Shades of Grey as told by Christian Grey,E L James,4.3,4.3,23485.0,10.064159777925026,1093.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,grey: fifty shades of grey as told by christian grey,e l james,1001+,0
"Guns, Germs and Steel: The Fate of Human Societies",Jared Diamond,4.4,4.4,2796.0,7.936302693201959,1256.0,"Pulitzer Prize, General Nonfiction, 1998",Crop Science | Evolution | Human Geography,",#183 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Crop Science,#1 in Evolution,#2 in Human Geography",183.0,16 hours and 20 minutes,980.0,Both,1,1,1,"guns, germs and steel: the fate of human societies",jared diamond,1001+,40
Half Girlfriend,Chetan Bhagat,4.2,4.2,8188.0,9.010547069270189,568.0,"Once upon a time, there was a Bihari boy called Madhav. He fell in love with a girl called Riya. Madhav didn't speak English well. Riya did. Madhav wanted a relationship. Riya didn't. Riya just wanted friendship. Madhav didn't. Riya suggested a compromise. She agreed to be his half girlfriend.",Contemporary Romance | Romance (Books),",#1,066 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#24 in Contemporary Romance (Audible Audiobooks & Originals),#1,492 in Romance (Books)",1066.0,8 hours and 49 minutes,529.0,Both,1,1,1,half girlfriend,chetan bhagat,1001+,294
Half of a Yellow Sun,Chimamanda Ngozi Adichie,4.6,4.6,1920.0,7.560601162768557,13442.0,Winner of the Baileys Prize Best of the Best,Small Town & Rural Fiction | War & Military Fiction | Classic Literature,",#2,188 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#5 in Small Town & Rural Fiction,#16 in War & Military Fiction,#110 in Classic Literature",2188.0,18 hours and 9 minutes,1089.0,Both,1,1,1,half of a yellow sun,chimamanda ngozi adichie,1001+,44
Hamlet,William Shakespeare,4.3,4.3,2540.0,7.840312983320164,65.0,"""The Tragedy of Hamlet"", Prince of Denmark, often shortened to Hamlet, is a tragedy written by William Shakespeare sometime between 1599 and 1602. Set in Denmark, the play depicts Prince Hamlet and his revenge against his uncle, Claudius, who has murdered Hamlet's father in order to seize his throne and marry Hamlet's mother.",Unknown,Unknown,,Unknown,,Both,1,0,0,hamlet,william shakespeare,1001+,327
"Hard Luck: Diary of a Wimpy Kid, Book 8",Jeff Kinney,4.6,4.6,6126.0,8.720460512725655,410.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,"hard luck: diary of a wimpy kid, book 8",jeff kinney,1001+,0
"Harry Potter and the Chamber of Secrets, Book 2",J.K. Rowling,4.7,4.7,10362.0,9.245997049184217,999.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,"harry potter and the chamber of secrets, book 2",j.k. rowling,1001+,0
"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,4.7,4.7,8684.0,9.069352678675203,1599.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,"harry potter and the deathly hallows, book 7",j.k. rowling,1001+,0
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,4.7,4.7,5485.0,8.60995467149755,1599.0,"""'There will be three tasks, spaced throughout the school year, and they will test the champions in many different ways...their magical prowess - their daring - their powers of deduction - and, of course, their ability to cope with danger.'""",Family Life Fiction for Children | Fantasy & Magic for Children | Fiction on Orphans & Foster Homes for Children,",#46 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Family Life Fiction for Children,#2 in Fantasy & Magic for Children,#2 in Fiction on Orphans & Foster Homes for Children",46.0,22 hours and 17 minutes,1337.0,Both,1,1,1,"harry potter and the goblet of fire, book 4",j.k. rowling,1001+,241
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,4.7,4.7,7113.0,8.8698199525084,1599.0,"""There it was, hanging in the sky above the school: the blazing green skull with a serpent tongue, the mark Death Eaters left behind whenever they had entered a building...wherever they had murdered....""",Family Life Fiction for Children | Fiction on Friendship for Children | Fiction on Orphans & Foster Homes for Children,",#78 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#5 in Family Life Fiction for Children,#5 in Fiction on Friendship for Children,#5 in Fiction on Orphans & Foster Homes for Children",78.0,21 hours and 27 minutes,1287.0,Both,1,1,1,"harry potter and the half-blood prince, book 6",j.k. rowling,1001+,203
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,4.7,4.7,5583.0,8.627660644442209,1599.0,"""'You are sharing the Dark Lord's thoughts and emotions. The Headmaster thinks it inadvisable for this to continue. He wishes me to teach you how to close your mind to the Dark Lord.'""",Family Life Fiction for Children | Fiction on Friendship for Children | Fiction on Orphans & Foster Homes for Children,",#75 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Family Life Fiction for Children,#4 in Fiction on Friendship for Children,#4 in Fiction on Orphans & Foster Homes for Children",75.0,30 hours and 18 minutes,1818.0,Both,1,1,1,"harry potter and the order of the phoenix, book 5",j.k. rowling,1001+,184
"Harry Potter and the Philosopher's Stone, Book 1",J.K. Rowling,4.7,4.7,11978.0,9.39091039573133,999.0,"""Turning the envelope over, his hand trembling, Harry saw a purple wax seal bearing a coat of arms; a lion, an eagle, a badger and a snake surrounding a large letter 'H'.""",Family Life Fiction for Children | Fantasy & Magic for Children | Fiction on Friendship for Children,",#29 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Family Life Fiction for Children,#1 in Fantasy & Magic for Children,#1 in Fiction on Friendship for Children",29.0,9 hours and 33 minutes,573.0,Both,1,1,1,"harry potter and the philosopher's stone, book 1",j.k. rowling,1001+,171
"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,4.6,4.6,5902.0,8.683215975240689,999.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,"harry potter and the prisoner of azkaban, book 3",j.k. rowling,1001+,0
Heal Your Body,Louise Hay,4.4,4.4,2421.0,7.792348924113037,233.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,heal your body,louise hay,1001+,0
